Component,Description,Approx Cost (INR),Approx Cost (USD),Notes
ESP32-WROOM-32 Dev Board,Main board running the dashboard,700,8,Enough power for Flask + rendering
5-inch Waveshare E-Ink Display (SPI),Monochrome Waveshare screen,"2,700",31,Core of the project
32GB Micro SD Card,System + data storage,350,4,OS and JSON data
5V ? 3.3V Power Converter (AMS1117 module),Stable power ,180,2,Usein a decent quality one
Jumper Wires & Breadboard,Wiring for SPI + LEDs,300,3.5,Reusable for testing
Wooden Enclosure / Frame,Cozy scrapbook-style case,900,10.8,Warm finish and desk-safe
Mount (3D Printed),Internal mounting frame,500,3,Holds the ESP32 behind the display
LEDs + Resistors,Status and power indicators,100,1.2,Subtle indicators only
Misc Tools & Cables,"USB, HDMI, screws, etc.",300,3.5,Small extras
"				",,,,
"Total		",,6030,$67 ,depends on finish + extras
